lo,up,mn
0.02,0.06,0.040
0.06,0.12,0.090
0.12,0.24,0.180
0.24,0.49,0.365
0.49,0.98,0.735
0.98,2,1.490
2,3.9,2.950
3.9,4,3.950
4,7.8,5.900
7.8,15.6,11.700
15.6,20,17.800
20,31,25.500
31,37,34.000
37,44,40.500
44,50,47.000
50,53,51.500
53,62.5,57.750
62.5,74,68.250
74,75,74.500
75,88,81.500
88,100,94.000
100,105,102.500
105,125,115.000
125,149,137.000
149,177,163.000
17,200,108.500
200,210,205.000
210,250,230.000
250,300,275.000
300,350,325.000
350,420,385.000
420,500,460.000
500,590,545.000
590,710,650.000
710,840,775.000
840,1000,920.000
1000,1190,1095.000
1190,1410,1300.000
1410,1680,1545.000
1680,2000,1840.000